order_id truck_id unload
20036 1 1
20027 1 2
20024 1 3
20010 2 1
20047 2 1
20033 3 1
20016 3 2
20053 3 2
20002 3 3
20039 3 3
20022 4 1
20037 4 2
20017 4 3
20054 4 3
20018 5 1
20011 5 2
20048 5 2
20003 6 1
20040 6 1
20014 6 2
20051 6 2
20023 7 1
20029 7 2
20007 8 1
20044 8 1
20025 8 2
20046 9 1
20001 9 2
20038 9 2
20006 10 1
20043 10 1
20015 10 2
20052 10 2
20020 11 1
20057 11 1
20026 11 2
20035 11 3
20055 12 1
20012 12 2
20049 12 2
20009 13 1
20031 13 2
20019 13 3
20056 13 3
20032 13 4
20034 14 1
20028 14 2
20013 14 3
20050 14 3
20004 15 1
20041 15 1
20030 15 2
20005 -1 -1
20008 -1 -1
20021 -1 -1
20042 -1 -1
20045 -1 -1
