order_id,truck_id,unload
20013,1,1
20057,1,1
20016,1,2
20007,2,1
20051,2,1
20044,2,2
20014,3,1
20058,3,1
20035,3,2
20043,4,1
20053,4,2
20024,4,3
20068,4,3
20026,5,1
20018,5,2
20062,5,2
20005,6,1
20049,6,1
20009,7,1
20017,7,2
20061,7,2
20025,7,3
20022,8,1
20034,8,2
20038,8,3
20033,8,4
20041,9,1
20011,9,2
20055,9,2
20036,9,3
20066,10,1
20021,10,2
20065,10,2
20015,10,3
20059,10,3
20006,11,1
20050,11,1
20032,11,2
20003,12,1
20047,12,1
20023,12,2
20067,12,2
20004,12,3
20048,12,3
20045,13,1
20012,13,2
20028,14,1
20029,14,2
20001,15,1
20054,15,2
20056,15,3
20002,16,1
20046,16,1
20037,16,2
20040,16,3
20030,17,1
20019,17,2
20063,17,2
20010,18,1
20027,18,2
20008,-1,-1
20020,-1,-1
20031,-1,-1
20039,-1,-1
20042,-1,-1
20052,-1,-1
20060,-1,-1
20064,-1,-1
