order_id,item_id,length,width,height,volume,weight,delivery_address_id
20001,100000,5920,2320,475,6.52,3572,1367
20001,100001,5920,2320,509,6.99,3534,1367
20001,100002,5920,2320,509,6.99,3534,1367
20002,100003,2868,2180,800,5.0,1771,1443
20002,100004,2795,2030,800,4.54,1599,1443
20002,100005,2795,2030,800,4.54,1607,1443
20002,100006,2795,2030,800,4.54,1599,1443
20002,100007,3310,2180,710,5.12,1790,1443
20002,100008,3230,1730,696,3.89,1314,1443
20003,100009,6160,2370,650,9.49,4489,1140
20003,100010,6160,2360,650,9.45,4443,1140
20003,100011,6170,2370,650,9.5,4296,1140
20004,100012,4900,1705,330,2.76,1652,1160
20004,100013,3340,1270,340,1.44,849,1160
20004,100014,6240,2090,390,5.09,2756,1160
20004,100015,6240,2090,390,5.09,2756,1160
20004,100016,6240,2090,390,5.09,2758,1160
20004,100017,5135,2430,390,4.87,2697,1160
20005,100018,2165,965,580,1.21,525,1237
20005,100019,2165,965,880,1.84,715,1237
20005,100020,2009,985,775,1.53,575,1237
20005,100021,2165,965,680,1.42,547,1237
20005,100022,2165,965,680,1.42,547,1237
20005,100023,2165,965,680,1.42,547,1237
20005,100024,2165,965,680,1.42,547,1237
20005,100025,2165,965,680,1.42,556,1237
20005,100026,2165,965,680,1.42,547,1237
20005,100027,2165,965,680,1.42,556,1237
20005,100028,2165,965,680,1.42,556,1237
20005,100029,2165,965,800,1.67,660,1237
20005,100030,2165,965,800,1.67,660,1237
20005,100031,2165,965,800,1.67,629,1237
20005,100032,2165,965,800,1.67,629,1237
20005,100033,2009,985,710,1.4,539,1237
20005,100034,2009,985,710,1.4,539,1237
20005,100035,2009,985,710,1.4,539,1237
20005,100036,2009,985,696,1.38,530,1237
20005,100037,2009,985,696,1.38,530,1237
20005,100038,2009,985,696,1.38,547,1237
20005,100039,2009,985,696,1.38,555,1237
20005,100040,2009,985,696,1.38,555,1237
20006,100041,2010,820,300,0.49,260,1098
20006,100042,2010,820,300,0.49,260,1098
20007,100043,5550,1660,265,2.44,1523,1529
20008,100044,2736,1960,750,4.02,1854,1496
20008,100045,2736,1960,750,4.02,1854,1496
20008,100046,2736,1960,710,3.81,1789,1496
20008,100047,2736,1960,710,3.81,1760,1496
20008,100048,2736,1960,710,3.81,1760,1496
20008,100049,2736,1960,696,3.73,1713,1496
20009,100050,2925,1685,190,0.94,460,1155
20009,100051,2500,1460,740,2.7,1240,1155
20009,100052,2500,1460,740,2.7,1352,1155
20009,100053,2500,1460,740,2.7,1346,1155
20009,100054,2500,1460,740,2.7,1346,1155
20010,100055,2009,985,710,1.4,646,1297
20010,100056,2009,985,710,1.4,656,1297
20010,100057,2009,985,710,1.4,646,1297
20010,100058,2009,985,710,1.4,646,1297
20010,100059,2009,985,710,1.4,646,1297
20010,100060,2009,985,696,1.38,656,1297
20010,100061,2009,985,885,1.75,828,1297
20010,100062,2009,985,885,1.75,815,1297
20010,100063,2009,985,885,1.75,828,1297
20010,100064,2009,985,885,1.75,828,1297
20010,100065,2009,985,885,1.75,815,1297
20010,100066,2009,985,885,1.75,815,1297
20010,100067,2009,985,885,1.75,828,1297
20010,100068,2009,985,885,1.75,828,1297
20010,100069,2009,985,700,1.39,666,1297
20010,100070,2009,985,700,1.39,666,1297
20010,100071,2009,985,700,1.39,637,1297
20011,100072,4960,2170,425,4.57,1545,1211
20012,100073,5745,2240,480,6.18,3195,1509
20012,100074,5745,2240,480,6.18,3124,1509
20012,100075,5745,2240,480,6.18,3124,1509
20012,100076,5745,2240,610,7.85,3796,1509
20012,100077,5745,2240,610,7.85,3752,1509
20013,100078,2868,2180,620,3.88,1613,1362
20013,100079,2868,2180,710,4.44,1947,1362
20013,100080,2868,2180,710,4.44,1947,1362
20013,100081,2868,2180,710,4.44,1892,1362
20013,100082,2868,2180,710,4.44,1892,1362
20013,100083,2868,2180,710,4.44,1853,1362
20014,100084,2390,1840,530,2.33,958,1437
20014,100085,2390,1840,530,2.33,958,1437
20014,100086,2927,2230,610,3.98,2183,1437
20014,100087,2927,2230,610,3.98,2199,1437
20014,100088,4120,1750,781,5.63,2635,1437
20015,100089,2040,1490,1050,3.19,1473,1434
20015,100090,2040,1490,1050,3.19,1480,1434
20015,100091,2040,1490,1050,3.19,1480,1434
20015,100092,2040,1490,1050,3.19,1412,1434
20015,100093,2040,1490,1050,3.19,1421,1434
20016,100094,3960,2220,730,6.42,2803,1243
20017,100095,2350,1435,1030,3.47,2101,1175
20017,100096,2350,1435,1030,3.47,2101,1175
20017,100097,2460,1455,1140,4.08,2384,1175
20017,100098,2460,1455,1140,4.08,2331,1175
20017,100099,2460,1455,1140,4.08,2331,1175
20018,100100,4180,1690,600,4.24,2832,1023
20018,100101,4180,1690,600,4.24,2832,1023
20019,100102,6210,2020,519,6.51,2976,1038
20019,100103,5035,2350,519,6.14,2807,1038
20020,100104,2030,1175,710,1.69,745,1112
20020,100105,2030,1175,710,1.69,744,1112
20020,100106,2030,1175,710,1.69,750,1112
20020,100107,2030,1175,710,1.69,750,1112
20020,100108,2030,1175,710,1.69,753,1112
20020,100109,2030,1175,710,1.69,745,1112
20020,100110,2030,1175,710,1.69,745,1112
20020,100111,2030,1175,710,1.69,742,1112
20020,100112,2030,1175,710,1.69,742,1112
20020,100113,2030,1175,710,1.69,748,1112
20020,100114,2030,1175,710,1.69,748,1112
20021,100115,3110,2080,740,4.79,2359,1096
20022,100116,6090,1790,410,4.47,2237,1424
20022,100117,5770,2180,509,6.4,3442,1424
20023,100118,2880,1790,570,2.94,1242,1420
20023,100119,2880,1790,855,4.41,1867,1420
20023,100120,2880,1790,855,4.41,1781,1420
20023,100121,2880,1790,855,4.41,1781,1420
20023,100122,2880,1790,855,4.41,1813,1420
20024,100123,3078,2350,509,3.68,1769,1292
20025,100124,5990,2000,320,3.83,2423,1247
20025,100125,6540,1765,330,3.81,2425,1247
20025,100126,5990,2000,380,4.55,2873,1247
20026,100127,5550,1660,250,2.3,1115,1347
20026,100128,5550,1660,250,2.3,1115,1347
20026,100129,5490,2100,510,5.88,2170,1347
20026,100130,5490,2100,510,5.88,2170,1347
20026,100131,5490,2100,510,5.88,2283,1347
20026,100132,4720,1720,540,4.38,1689,1347
20026,100133,4720,1720,540,4.38,1689,1347
20027,100134,3310,2135,640,4.52,1702,1416
20027,100135,3310,2135,640,4.52,1697,1416
20027,100136,3310,2135,640,4.52,1712,1416
20027,100137,4360,1140,670,3.33,1479,1416
20028,100138,5550,1660,270,2.49,1537,1380
20028,100139,5550,1660,270,2.49,1537,1380
20029,100140,2165,1204,710,1.85,962,1196
20029,100141,2165,1204,710,1.85,943,1196
20029,100142,2165,1204,710,1.85,943,1196
20029,100143,2165,1204,710,1.85,957,1196
20029,100144,2165,1204,710,1.85,962,1196
20029,100145,2165,1204,710,1.85,955,1196
20029,100146,2165,1204,710,1.85,952,1196
20029,100147,2165,1204,710,1.85,952,1196
20030,100148,2535,2340,509,3.02,1170,1426
20030,100149,2535,2340,509,3.02,1170,1426
20030,100150,2535,2340,509,3.02,1184,1426
20030,100151,2535,2340,509,3.02,1192,1426
20030,100152,2535,2340,509,3.02,1184,1426
20030,100153,2535,2340,509,3.02,1178,1426
20031,100154,4725,1940,610,5.59,2173,1467
20032,100155,2225,1034,740,1.7,793,1343
20032,100156,2225,1034,740,1.7,793,1343
20032,100157,2225,1034,740,1.7,793,1343
20032,100158,2225,1034,740,1.7,801,1343
20032,100159,2225,1034,740,1.7,801,1343
20032,100160,2225,1034,740,1.7,793,1343
20032,100161,2225,1034,740,1.7,793,1343
20032,100162,2225,1034,740,1.7,793,1343
20032,100163,2225,1034,740,1.7,793,1343
20032,100164,2225,1034,740,1.7,793,1343
20033,100165,1980,1200,985,2.34,936,1431
20033,100166,1980,1200,985,2.34,936,1431
20033,100167,1980,1200,985,2.34,936,1431
20033,100168,1980,1200,985,2.34,870,1431
20033,100169,1980,1200,985,2.34,895,1431
20034,100170,5220,1980,400,4.13,2682,1309
20034,100171,5220,1980,400,4.13,2682,1309
20034,100172,5220,1980,440,4.55,2989,1309
20034,100173,5220,1980,440,4.55,2989,1309
20035,100174,6150,1930,110,1.31,623,1224
20036,100175,2695,2140,740,4.27,2187,1455
20036,100176,2868,2180,710,4.44,2256,1455
20036,100177,2868,2180,710,4.44,2256,1455
20036,100178,2868,2180,710,4.44,2291,1455
20036,100179,2868,2180,710,4.44,2291,1455
20037,100180,5980,2410,430,6.2,2757,1107
20038,100181,2050,730,155,0.23,125,1490
20038,100182,1670,640,162,0.17,77,1490
20038,100183,1670,640,750,0.8,377,1490
20038,100184,1670,640,750,0.8,377,1490
20038,100185,1670,640,750,0.8,386,1490
20038,100186,1670,640,750,0.8,377,1490
20038,100187,1670,640,750,0.8,377,1490
20038,100188,1670,640,750,0.8,386,1490
20038,100189,1670,640,750,0.8,386,1490
20038,100190,1670,640,750,0.8,386,1490
20038,100191,1670,640,750,0.8,386,1490
20038,100192,1670,640,750,0.8,386,1490
20038,100193,1670,640,750,0.8,386,1490
20038,100194,1670,640,750,0.8,386,1490
20038,100195,2050,730,750,1.12,558,1490
20038,100196,2050,730,750,1.12,558,1490
20038,100197,2050,730,750,1.12,558,1490
20038,100198,2050,730,750,1.12,558,1490
20038,100199,2050,730,750,1.12,558,1490
20038,100200,2050,730,750,1.12,558,1490
