order_id,truck_id,unload
20021,1,1
20001,1,2
20037,1,2
20039,2,1
20025,2,2
20002,3,1
20038,3,1
20045,4,1
20010,4,2
20004,4,3
20040,4,3
20008,5,1
20014,5,2
20050,5,2
20018,5,3
20054,5,3
20030,6,1
20024,6,2
20007,6,3
20043,6,3
20044,7,1
20003,7,2
20020,7,3
20056,7,3
20032,8,1
20034,8,2
20035,8,3
20048,9,1
20009,9,2
20046,9,3
20022,10,1
20011,10,2
20047,10,2
20033,10,3
20017,11,1
20005,11,2
20041,11,2
20012,11,3
20029,12,1
20015,12,2
20051,12,2
20019,12,3
20055,12,3
20053,13,1
20013,13,2
20049,13,2
20016,13,3
20052,13,3
20006,-1,-1
20023,-1,-1
20026,-1,-1
20027,-1,-1
20028,-1,-1
20031,-1,-1
20036,-1,-1
20042,-1,-1
