item_id,order_id,truck_id,unload,x,y,z,rotation_axis
100311,20067,1,1,3472,150,2070,-1
100312,20067,1,1,8237,135,0,-1
100313,20067,1,1,3517,30,1010,-1
100314,20067,1,1,3517,30,1540,-1
100315,20067,1,1,8237,255,540,-1
100316,20067,1,1,8237,255,1150,-1
100070,20015,1,2,2027,60,0,-1
100071,20015,1,2,2027,60,505,-1
100058,20013,2,1,6390,50,1557,-1
100059,20013,2,1,6390,1250,1557,-1
100060,20013,2,1,2430,21,934,-1
100061,20013,2,1,4410,25,934,-1
100062,20013,2,1,2430,1221,934,-1
100063,20013,2,1,4410,1225,934,-1
100064,20013,2,1,2430,21,0,-1
100065,20013,2,1,4410,25,0,-1
100066,20013,2,1,2430,1221,0,-1
100067,20013,2,1,4410,1225,0,-1
100068,20013,2,1,8370,582,1557,-1
100275,20058,2,1,6390,50,0,-1
100276,20058,2,1,6390,50,519,-1
100277,20058,2,1,6390,50,1038,-1
100280,20060,3,1,9300,520,0,-1
100281,20060,3,1,11400,520,0,-1
100282,20060,3,1,9300,520,1170,-1
100283,20060,3,1,11400,520,1170,-1
100038,20010,3,2,3555,42,0,-1
100039,20010,3,2,3555,42,610,-1
100040,20010,3,2,3555,42,1220,-1
100266,20055,3,2,2351,143,1764,2
100267,20055,3,2,7135,42,1830,-1
100268,20055,3,2,7135,1246,1830,-1
100269,20055,3,2,1390,21,0,-1
100270,20055,3,2,1390,1225,0,-1
100271,20055,3,2,1390,21,882,-1
100272,20055,3,2,1390,1225,882,-1
100284,20061,4,1,7981,480,865,-1
100285,20061,4,1,10011,480,865,-1
100286,20061,4,1,3221,480,1265,-1
100287,20061,4,1,5251,480,1265,-1
100123,20024,4,2,3221,10,0,-1
100124,20024,4,2,7981,10,0,-1
100125,20024,4,2,3221,10,425,-1
100126,20024,4,2,7981,10,425,-1
100127,20024,4,2,3221,10,865,-1
100322,20069,4,2,1016,170,0,-1
100323,20069,4,2,1016,1225,0,-1
100324,20069,4,2,1016,697,730,-1
100152,20030,5,1,7850,170,1070,-1
100015,20006,5,2,1158,0,1070,-1
100016,20006,5,2,1158,1204,1045,-1
100017,20006,5,2,3230,21,0,-1
100018,20006,5,2,3230,1225,0,-1
100019,20006,5,2,5395,21,0,-1
100020,20006,5,2,5395,1225,0,-1
100021,20006,5,2,5118,619,1780,-1
100022,20006,5,2,1158,1204,1755,-1
100249,20051,5,2,1250,1202,0,-1
100250,20051,5,2,1250,2,0,-1
100251,20051,5,2,3323,21,710,-1
100252,20051,5,2,5303,21,710,-1
100253,20051,5,2,3323,1221,710,-1
100254,20051,5,2,5303,1221,710,-1
100255,20051,5,2,7560,30,0,-1
100256,20051,5,2,7560,1230,0,-1
100257,20051,5,2,9540,30,0,-1
100258,20051,5,2,11520,30,0,-1
100259,20051,5,2,9540,1230,0,-1
100260,20051,5,2,11520,1230,0,-1
100072,20016,6,1,6139,105,1220,-1
100073,20016,6,1,6139,105,1700,-1
100007,20004,6,2,3974,1246,1320,-1
100008,20004,6,2,1809,42,610,-1
100009,20004,6,2,1809,1246,610,-1
100010,20004,6,2,3974,42,610,-1
100011,20004,6,2,3974,1246,610,-1
100012,20004,6,2,3519,46,1320,-1
100241,20049,6,2,394,42,0,-1
100242,20049,6,2,6139,105,0,-1
100243,20049,6,2,6139,105,610,-1
