order_id,item_id,length,width,height,volume,weight,delivery_address_id
20001,100000,5745,2240,610,7.85,3239,1178
20002,100001,1980,1200,985,2.34,1144,1067
20002,100002,1980,1200,985,2.34,1118,1067
20002,100003,1980,1200,985,2.34,1118,1067
20002,100004,1980,1200,985,2.34,1108,1067
20002,100005,1980,1200,985,2.34,1155,1067
20002,100006,1980,1200,985,2.34,1134,1067
20002,100007,1980,1200,985,2.34,1111,1067
20002,100008,1980,1200,985,2.34,1145,1067
20002,100009,1980,1200,985,2.34,1145,1067
20002,100010,1980,1200,985,2.34,1165,1067
20002,100011,1980,1200,985,2.34,1093,1067
20002,100012,1980,1200,985,2.34,1093,1067
20002,100013,1980,1200,985,2.34,1145,1067
20002,100014,1980,1200,985,2.34,1145,1067
20002,100015,1980,1200,940,2.23,1068,1067
20002,100016,1980,1200,940,2.23,1062,1067
20003,100017,4610,1975,410,3.73,2189,1050
20004,100018,2630,1290,934,3.17,1455,1080
20005,100019,3170,1870,533,3.16,1687,1400
20006,100020,5745,2240,480,6.18,2397,1096
20007,100021,5430,1110,425,2.56,1190,1069
20007,100022,5430,1110,425,2.56,1190,1069
20007,100023,5430,1110,425,2.56,1190,1069
20007,100024,5430,1110,425,2.56,1137,1069
20007,100025,2830,2410,750,5.12,3144,1069
20007,100026,2830,2410,750,5.12,3144,1069
20008,100027,6130,2425,320,4.76,3100,1255
20008,100028,6130,2425,320,4.76,3100,1255
20009,100029,2927,2230,610,3.98,2307,1034
20010,100030,5840,2210,610,7.87,3682,1196
20011,100031,3248,1723,530,2.97,1127,1511
20012,100032,2650,1490,934,3.69,1841,1380
20012,100033,2650,1490,934,3.69,1828,1380
20012,100034,2650,1490,1140,4.5,2241,1380
20012,100035,2550,1370,1140,3.98,1896,1380
20012,100036,2550,1370,1140,3.98,1896,1380
20013,100037,2380,1414,934,3.14,1250,1433
20014,100038,3010,2240,190,1.28,632,1206
20014,100039,3010,2240,190,1.28,632,1206
20014,100040,2640,2140,190,1.07,522,1206
20014,100041,2640,2140,190,1.07,522,1206
20014,100042,3190,2264,425,3.07,1439,1206
20015,100043,5940,2342,300,4.17,2693,1483
20016,100044,3320,1780,330,1.95,1047,1163
20016,100045,3320,1780,610,3.6,1854,1163
20016,100046,3320,1780,610,3.6,1854,1163
20016,100047,3320,1780,640,3.78,1898,1163
20016,100048,3320,1780,640,3.78,1897,1163
20016,100049,3320,1780,640,3.78,1968,1163
20016,100050,3320,1780,640,3.78,1968,1163
20016,100051,3320,1780,640,3.78,1915,1163
20017,100052,2380,1435,509,1.74,875,1158
20017,100053,2380,1435,509,1.74,875,1158
20017,100054,2380,1435,509,1.74,846,1158
20017,100055,2380,1360,509,1.65,833,1158
20017,100056,2380,1360,509,1.65,833,1158
20017,100057,2180,980,985,2.1,1004,1158
20018,100058,2140,860,45,0.08,21,1283
20019,100059,2670,1345,1140,4.09,2051,1315
20019,100060,2670,1345,1140,4.09,2051,1315
20019,100061,2670,1345,1180,4.24,2058,1315
20020,100062,3130,2293,390,2.8,1530,1049
20020,100063,2900,2160,495,3.1,2026,1049
20021,100064,1770,1300,1140,2.62,1171,1464
20021,100065,2031,1270,1180,3.04,1423,1464
20021,100066,2031,1270,1180,3.04,1423,1464
20022,100067,4720,1720,230,1.87,1032,1401
20022,100068,4720,1720,230,1.87,1032,1401
20022,100069,5980,2410,430,6.2,3873,1401
20022,100070,5980,2410,430,6.2,3873,1401
20022,100071,6210,2020,510,6.4,3904,1401
20022,100072,2690,1270,940,3.21,1439,1401
20023,100073,2020,970,295,0.58,324,1117
20023,100074,2020,970,730,1.43,821,1117
20023,100075,2020,970,730,1.43,828,1117
20023,100076,2020,980,730,1.45,821,1117
20023,100077,2020,980,730,1.45,808,1117
20023,100078,2020,980,730,1.45,808,1117
20023,100079,2020,970,730,1.43,802,1117
20023,100080,2020,970,730,1.43,802,1117
20023,100081,2020,970,730,1.43,793,1117
20023,100082,2020,980,730,1.45,804,1117
20023,100083,2020,980,730,1.45,804,1117
20023,100084,2020,980,730,1.45,774,1117
20023,100085,2020,980,730,1.45,797,1117
20023,100086,2020,980,730,1.45,797,1117
20024,100087,5550,2200,480,5.86,2494,1343
20024,100088,5550,2200,480,5.86,2539,1343
20024,100089,5550,2200,480,5.86,2539,1343
20025,100090,2380,1480,520,1.83,847,1281
20025,100091,2380,1480,520,1.83,846,1281
20025,100092,2650,1490,934,3.69,1732,1281
20025,100093,2650,1490,934,3.69,1732,1281
20026,100094,3980,1611,495,3.17,2465,1440
20026,100095,3980,1611,600,3.85,2507,1440
20026,100096,3980,1611,640,4.1,2724,1440
20026,100097,3980,1611,640,4.1,2724,1440
20027,100098,2230,1010,40,0.09,68,1411
20027,100099,2100,1110,270,0.63,334,1411
20028,100100,2031,1270,1180,3.04,1470,1178
20028,100101,2031,1270,1180,3.04,1445,1178
20028,100102,2031,1270,1180,3.04,1445,1178
20028,100103,2031,1270,1180,3.04,1445,1178
20028,100104,2031,1270,1170,3.02,1443,1178
20028,100105,2031,1270,1170,3.02,1443,1178
20029,100106,6540,1765,162,1.87,1141,1067
20029,100107,4650,1860,250,2.16,1368,1067
20029,100108,4650,1860,250,2.16,1368,1067
20030,100109,3200,1400,1170,5.24,3422,1050
20030,100110,3200,1400,1170,5.24,3407,1050
20031,100111,5745,2240,480,6.18,2800,1080
20032,100112,5960,1780,430,4.56,3005,1400
20033,100113,2630,1290,1160,3.94,1536,1096
20033,100114,2630,1290,1160,3.94,1536,1096
20034,100115,4870,2215,480,5.18,2873,1069
20034,100116,4870,2215,480,5.18,2873,1069
20034,100117,4870,2215,480,5.18,2777,1069
20034,100118,4870,2215,480,5.18,2841,1069
20035,100119,5745,2240,480,6.18,3344,1255
20035,100120,5745,2240,480,6.18,3318,1255
20035,100121,5745,2240,480,6.18,3318,1255
20035,100122,5745,2240,530,6.82,3624,1255
20036,100123,3710,2350,519,4.52,2616,1034
20037,100124,2870,1680,340,1.64,905,1196
20037,100125,2870,1680,340,1.64,906,1196
20037,100126,2870,1680,340,1.64,906,1196
20037,100127,2870,1680,340,1.64,900,1196
20037,100128,3130,2293,533,3.83,1862,1196
20037,100129,3130,2293,475,3.41,1550,1196
20037,100130,3230,1850,519,3.1,1676,1196
20037,100131,3230,1850,519,3.1,1676,1196
20038,100132,3130,1770,400,2.22,1171,1511
20038,100133,3130,1770,400,2.22,1171,1511
20039,100134,5980,2410,430,6.2,3684,1380
20040,100135,5380,2290,509,6.27,3099,1433
20040,100136,5380,2290,509,6.27,3099,1433
20041,100137,1975,1200,710,1.68,618,1206
20041,100138,1975,1200,710,1.68,618,1206
20041,100139,1975,1200,710,1.68,632,1206
20041,100140,1975,1200,710,1.68,614,1206
20041,100141,1975,1200,710,1.68,613,1206
20041,100142,1975,1200,710,1.68,613,1206
20041,100143,1975,1200,710,1.68,615,1206
20041,100144,1975,1200,882,2.09,759,1206
20041,100145,1975,1200,882,2.09,759,1206
20042,100146,3078,2350,540,3.91,1812,1483
20043,100147,3270,1428,190,0.89,466,1163
