order_id truck_id unload
20067 1 1
20015 1 2
20013 2 1
20058 2 1
20060 3 1
20010 3 2
20055 3 2
20061 4 1
20024 4 2
20069 4 2
20030 5 1
20006 5 2
20051 5 2
20016 6 1
20004 6 2
20049 6 2
20033 7 1
20008 7 2
20053 7 2
20035 8 1
20022 8 2
20018 8 3
20029 9 1
20037 9 2
20021 9 3
20066 9 3
20020 10 1
20065 10 1
20063 10 2
20026 11 1
20036 11 2
20023 11 3
20068 11 3
20005 12 1
20050 12 1
20007 12 2
20052 12 2
20040 13 1
20028 13 2
20012 14 1
20057 14 1
20011 14 2
20056 14 2
20041 15 1
20019 15 2
20064 15 2
20025 15 3
20070 15 3
20059 16 1
20003 16 2
20048 16 2
20014 17 1
20043 17 2
20009 17 3
20054 17 3
20039 18 1
20042 18 2
20038 18 3
20001 -1 -1
20002 -1 -1
20017 -1 -1
20027 -1 -1
20031 -1 -1
20032 -1 -1
20034 -1 -1
20044 -1 -1
20045 -1 -1
20046 -1 -1
20047 -1 -1
20062 -1 -1
