order_id truck_id unload
20046 1 1
20014 1 2
20024 2 1
20069 2 1
20019 2 2
20007 3 1
20052 3 1
20044 4 1
20021 4 2
20066 4 2
20045 5 1
20002 5 2
20023 6 1
20068 6 1
20013 6 2
20058 6 2
20067 7 1
20033 7 2
20012 8 1
20057 8 1
20026 8 2
20035 9 1
20016 9 2
20061 9 2
20041 9 3
20029 10 1
20042 10 2
20059 11 1
20064 11 2
20039 11 3
20030 12 1
20003 12 2
20048 12 2
20037 13 1
20056 13 2
20018 13 3
20063 13 3
20005 14 1
20050 14 1
20025 14 2
20070 14 2
20038 15 1
20006 15 2
20036 16 1
20051 16 2
20010 16 3
20055 16 3
20017 17 1
20062 17 1
20032 17 2
20022 17 3
20001 18 1
20004 18 2
20049 18 2
20009 19 1
20054 19 1
20008 19 2
20047 19 3
20011 -1 -1
20015 -1 -1
20020 -1 -1
20027 -1 -1
20028 -1 -1
20031 -1 -1
20034 -1 -1
20040 -1 -1
20043 -1 -1
20053 -1 -1
20060 -1 -1
20065 -1 -1
