item_id,order_id,truck_id,unload,x,y,z,rotation_axis
100172,20042,1,1,9999,260,480,-1
100173,20042,1,1,9999,260,1170,-1
100115,20031,1,2,3019,245,1440,-1
100116,20031,1,2,5249,245,1440,-1
100117,20031,1,2,5219,475,1865,-1
100118,20031,1,2,7479,100,480,-1
100092,20024,1,3,1734,105,0,-1
100093,20024,1,3,7479,105,0,-1
100094,20024,1,3,1734,105,480,-1
100095,20024,1,3,1734,105,960,-1
100111,20029,2,1,6621,675,1940,-1
100003,20003,2,2,6421,85,0,-1
100004,20003,2,2,6421,85,425,-1
100155,20038,2,2,6621,105,850,-1
100156,20038,2,2,6621,105,1330,-1
100066,20018,2,3,361,140,0,2
100067,20018,2,3,1801,559,0,-1
100068,20018,2,3,4111,559,0,-1
100069,20018,2,3,2001,584,1470,-1
100070,20018,2,3,4311,584,1470,-1
100208,20053,2,3,361,419,1070,-1
100209,20053,2,3,3491,419,1070,-1
100110,20028,3,1,5185,153,2180,-1
100080,20020,3,2,5185,23,840,-1
100081,20020,3,2,5185,23,1270,-1
100082,20020,3,2,5185,133,1700,-1
100001,20002,3,3,2455,378,840,-1
100002,20002,3,3,2455,378,1160,-1
100146,20037,3,3,3020,626,1935,-1
100147,20037,3,3,2455,24,0,-1
100148,20037,3,3,2455,1228,0,-1
100149,20037,3,3,4620,24,0,-1
100150,20037,3,3,4620,1228,0,-1
100151,20037,3,3,6785,24,0,-1
100152,20037,3,3,6785,1228,0,-1
100153,20037,3,3,8950,24,0,-1
100154,20037,3,3,8950,1228,0,-1
100058,20017,4,1,4347,191,860,-1
100059,20017,4,1,6572,194,860,-1
100060,20017,4,1,4347,1225,860,-1
100061,20017,4,1,6572,1228,860,-1
100062,20017,4,1,4347,191,1590,-1
100063,20017,4,1,6572,194,1590,-1
100064,20017,4,1,4347,1225,1590,-1
100065,20017,4,1,6572,1228,1590,-1
100206,20052,4,1,8797,590,430,-1
100207,20052,4,1,10828,590,430,-1
100083,20021,4,2,899,20,0,-1
100084,20021,4,2,6879,20,0,-1
100085,20021,4,2,2817,20,430,-1
100141,20035,5,1,7194,235,820,-1
100142,20035,5,1,7194,235,1230,-1
100143,20035,5,1,7194,235,1640,-1
100023,20008,5,2,7194,330,0,-1
100024,20008,5,2,10264,330,0,-1
100025,20008,5,2,7194,330,200,-1
100026,20008,5,2,10264,330,200,-1
100174,20043,5,2,504,645,0,-1
100175,20043,5,2,2734,645,0,-1
100176,20043,5,2,4964,65,0,-1
100177,20043,5,2,504,645,730,-1
100178,20043,5,2,504,645,1460,-1
100179,20043,5,2,4964,1225,0,-1
100180,20043,5,2,2734,645,730,-1
100181,20043,5,2,2734,645,1460,-1
100182,20043,5,2,4964,65,730,-1
100183,20043,5,2,4964,1225,730,-1
100184,20043,5,2,4964,1225,1460,-1
100185,20043,5,2,4964,65,1460,-1
100008,20005,6,1,10560,140,1460,-1
100009,20005,6,1,5530,140,1140,-1
100010,20005,6,1,7760,140,1140,-1
100011,20005,6,1,5530,140,1870,-1
100012,20005,6,1,7760,140,1870,-1
100013,20005,6,1,10560,140,0,-1
100014,20005,6,1,10560,140,730,-1
100015,20005,6,1,8460,1295,1575,-1
100016,20005,6,1,11100,1295,0,-1
100017,20005,6,1,11100,1295,730,-1
100165,20040,6,1,8460,1410,800,-1
100166,20040,6,1,8460,1410,0,-1
100167,20040,6,1,5530,1295,1140,-1
100071,20019,6,2,0,140,0,2
100072,20019,6,2,1410,140,0,2
100073,20019,6,2,2820,140,0,2
100074,20019,6,2,4230,140,0,2
100075,20019,6,2,5640,140,0,2
100076,20019,6,2,7050,140,0,2
100077,20019,6,2,1330,510,1302,-1
100078,20019,6,2,3430,768,1140,-1
100079,20019,6,2,8460,0,0,-1
100210,20054,6,2,1010,40,1140,-1
100042,20013,7,1,92,279,1868,-1
100043,20013,7,1,2637,661,1685,-1
100044,20013,7,1,4802,661,1685,-1
100045,20013,7,1,8109,1204,784,-1
100046,20013,7,1,8109,0,784,-1
100047,20013,7,1,10274,1204,784,-1
100048,20013,7,1,10274,0,784,-1
100049,20013,7,1,8109,1204,1494,-1
100050,20013,7,1,8109,0,1494,-1
100051,20013,7,1,10274,1204,1494,-1
100052,20013,7,1,10274,0,1494,-1
100018,20006,7,2,2637,118,0,-1
100019,20006,7,2,7867,118,0,-1
100020,20006,7,2,8109,118,265,-1
100168,20041,7,2,2637,283,265,-1
100169,20041,7,2,2637,283,975,-1
100170,20041,7,2,5373,283,265,-1
100171,20041,7,2,5373,283,975,-1
100089,20023,7,3,92,246,0,-1
100090,20023,7,3,92,246,934,-1
100091,20023,7,3,92,1516,0,0
100157,20039,8,1,420,505,1970,-1
100158,20039,8,1,10800,505,2060,-1
100159,20039,8,1,8870,505,150,-1
100160,20039,8,1,8870,505,1195,-1
100161,20039,8,1,10800,95,0,2
100162,20039,8,1,12150,95,0,2
100163,20039,8,1,10800,95,1030,2
100164,20039,8,1,12150,95,1030,2
100056,20016,8,2,5635,145,880,-1
100057,20016,8,2,5975,145,150,-1
100205,20051,8,2,5635,665,1480,-1
100041,20012,8,3,5975,255,0,-1
100192,20047,8,3,3085,485,880,-1
100027,20009,8,4,3085,0,0,-1
100028,20009,8,4,3085,0,440,-1
100186,20044,8,4,420,515,0,-1
100187,20044,8,4,420,515,985,-1
100005,20004,9,1,5295,50,970,-1
100006,20004,9,1,8505,50,970,-1
100007,20004,9,1,5295,290,1503,-1
100054,20015,9,2,3175,139,1300,-1
100055,20015,9,2,3175,1219,1300,-1
100203,20050,9,2,5295,130,650,-1
100204,20050,9,2,9015,130,650,-1
100193,20048,9,3,1027,110,0,-1
100194,20048,9,3,3954,110,0,-1
100195,20048,9,3,6881,110,0,-1
100196,20048,9,3,9808,110,0,-1
100197,20048,9,3,2368,110,650,-1
100099,20026,10,1,3709,590,1080,-1
100100,20026,10,1,6636,590,130,-1
100101,20026,10,1,6636,590,1310,-1
100102,20026,10,1,8929,209,0,2
100103,20026,10,1,10199,0,0,-1
100104,20026,10,1,10199,0,1180,-1
100105,20026,10,1,10199,1270,0,0
100106,20026,10,1,12230,209,0,2
100107,20026,10,1,12230,209,1180,2
100108,20027,10,2,3709,110,130,-1
100109,20027,10,2,3709,110,605,-1
100053,20014,10,3,3709,235,0,-1
100198,20049,10,3,1544,22,0,-1
100199,20049,10,3,1544,22,710,-1
100200,20049,10,3,1544,1226,0,-1
100201,20049,10,3,1544,1226,710,-1
100202,20049,10,3,1544,624,1420,-1
100137,20033,10,4,94,53,0,2
100021,20007,11,1,7513,508,1760,-1
100022,20007,11,1,10213,505,1569,-1
100112,20030,11,2,5039,496,1420,-1
100113,20030,11,2,7513,578,710,-1
100114,20030,11,2,10213,575,519,-1
100038,20011,11,3,2874,625,1770,-1
100039,20011,11,3,5039,24,710,-1
100040,20011,11,3,5039,1228,710,-1
100029,20010,11,4,349,143,0,2
100030,20010,11,4,1553,24,0,-1
100031,20010,11,4,3718,24,0,-1
100032,20010,11,4,1553,1228,0,-1
100033,20010,11,4,3718,1228,0,-1
100034,20010,11,4,5883,24,0,-1
100035,20010,11,4,8048,24,0,-1
100036,20010,11,4,5883,1228,0,-1
100037,20010,11,4,8048,1228,0,-1
100188,20045,11,4,10213,168,0,-1
100189,20045,11,4,1791,366,710,-1
100190,20045,11,4,1791,366,1240,-1
100000,20001,12,1,8110,351,1760,-1
100144,20036,12,1,11150,601,0,-1
100145,20036,12,1,11150,601,700,-1
100119,20032,12,2,4750,116,0,0
100120,20032,12,2,7950,116,0,0
100121,20032,12,2,4750,416,430,-1
100122,20032,12,2,7950,416,430,-1
100123,20032,12,2,4750,416,730,-1
100124,20032,12,2,7950,416,730,-1
100125,20032,12,2,4750,416,1030,-1
100126,20032,12,2,7950,416,1030,-1
100127,20032,12,2,4750,416,0,-1
100128,20032,12,2,8110,416,1330,-1
100129,20032,12,2,7615,416,0,-1
100130,20032,12,2,4750,416,1330,-1
100131,20032,12,2,4750,416,1760,-1
100132,20032,12,2,4750,416,2190,-1
100133,20032,12,2,1385,525,1979,-1
100134,20032,12,2,1385,525,1470,-1
100135,20032,12,2,6770,1936,0,0
100136,20032,12,2,10135,1936,0,0
100096,20025,12,3,0,410,0,-1
100097,20025,12,3,0,410,490,-1
100098,20025,12,3,0,410,980,-1
100086,20022,-1,-1,-1,-1,-1,-1
100087,20022,-1,-1,-1,-1,-1,-1
100088,20022,-1,-1,-1,-1,-1,-1
100138,20034,-1,-1,-1,-1,-1,-1
100139,20034,-1,-1,-1,-1,-1,-1
100140,20034,-1,-1,-1,-1,-1,-1
100191,20046,-1,-1,-1,-1,-1,-1
