order_id,item_id,length,width,height,volume,weight,delivery_address_id
20001,100000,5745,2240,480,6.18,3023,1199
20001,100001,5745,2240,610,7.85,3716,1199
20001,100002,5745,2240,610,7.85,3660,1199
20002,100003,3248,1723,530,2.97,1167,1497
20003,100004,5765,1960,190,2.15,1479,1524
20003,100005,4810,2180,520,5.45,3429,1524
20003,100006,4620,2210,540,5.51,3728,1524
20003,100007,4720,2420,530,6.05,4131,1524
20004,100008,2050,730,155,0.23,125,1393
20004,100009,1670,640,162,0.17,77,1393
20004,100010,1670,640,750,0.8,377,1393
20004,100011,1670,640,750,0.8,377,1393
20004,100012,1670,640,750,0.8,386,1393
20004,100013,1670,640,750,0.8,377,1393
20004,100014,1670,640,750,0.8,377,1393
20004,100015,1670,640,750,0.8,386,1393
20004,100016,1670,640,750,0.8,386,1393
20004,100017,1670,640,750,0.8,386,1393
20004,100018,1670,640,750,0.8,386,1393
20004,100019,1670,640,750,0.8,386,1393
20004,100020,1670,640,750,0.8,386,1393
20004,100021,1670,640,750,0.8,386,1393
20004,100022,2050,730,750,1.12,558,1393
20004,100023,2050,730,750,1.12,558,1393
20004,100024,2050,730,750,1.12,558,1393
20004,100025,2050,730,750,1.12,558,1393
20004,100026,2050,730,750,1.12,558,1393
20004,100027,2050,730,750,1.12,558,1393
20004,100028,2050,730,750,1.12,558,1393
20004,100029,2050,730,750,1.12,558,1393
20005,100030,2165,1204,710,1.85,846,1229
20005,100031,2165,1204,710,1.85,864,1229
20005,100032,2165,1204,710,1.85,879,1229
20005,100033,2165,1204,710,1.85,879,1229
20005,100034,2165,1204,710,1.85,885,1229
20005,100035,2165,1204,710,1.85,885,1229
20005,100036,2165,1204,710,1.85,854,1229
20005,100037,2165,1204,710,1.85,864,1229
20006,100038,3248,1723,610,3.41,1742,1325
20007,100039,4650,2360,300,3.29,2148,1205
20007,100040,4650,2360,300,3.29,2148,1205
20007,100041,5600,2190,610,7.48,3815,1205
20008,100042,3260,1540,460,2.31,1221,1208
20008,100043,3260,1540,460,2.31,1205,1208
20008,100044,3260,1540,460,2.31,1205,1208
20009,100045,4060,1943,710,5.6,2499,1083
20009,100046,4060,1943,696,5.49,2450,1083
20010,100047,2225,1620,820,2.96,1051,1116
20010,100048,2225,1620,820,2.96,1051,1116
20011,100049,740,680,360,0.18,68,1114
20011,100050,740,680,360,0.18,68,1114
20011,100051,740,680,360,0.18,69,1114
20011,100052,740,680,360,0.18,70,1114
20011,100053,740,680,360,0.18,70,1114
20011,100054,740,680,360,0.18,71,1114
20011,100055,740,680,360,0.18,71,1114
20011,100056,740,680,360,0.18,71,1114
20011,100057,2330,1190,750,2.08,757,1114
20011,100058,2330,1190,750,2.08,776,1114
20012,100059,2205,1055,640,1.49,669,1299
20012,100060,2205,1055,730,1.7,768,1299
20012,100061,2205,1055,730,1.7,768,1299
20012,100062,2205,1055,730,1.7,782,1299
20012,100063,2205,1055,730,1.7,782,1299
20012,100064,2205,1055,730,1.7,764,1299
20012,100065,2205,1055,730,1.7,743,1299
20012,100066,2205,1055,730,1.7,775,1299
20012,100067,2205,1055,730,1.7,753,1299
20012,100068,2205,1055,730,1.7,764,1299
20012,100069,2205,1055,730,1.7,747,1299
20012,100070,2205,1055,730,1.7,747,1299
20013,100071,2031,1270,710,1.83,850,1039
20013,100072,2031,1270,710,1.83,850,1039
20013,100073,2031,1270,1140,2.94,1386,1039
20013,100074,2031,1270,1180,3.04,1338,1039
20013,100075,2031,1270,1180,3.04,1338,1039
20013,100076,2031,1270,1180,3.04,1350,1039
20014,100077,2650,1490,934,3.69,2059,1084
20015,100078,2240,1160,740,1.92,978,1417
20015,100079,2240,1160,740,1.92,978,1417
20015,100080,2240,1160,740,1.92,1021,1417
20015,100081,2240,1160,740,1.92,1000,1417
20015,100082,2240,1160,740,1.92,1000,1417
20015,100083,2240,1160,740,1.92,1017,1417
20015,100084,2240,1160,740,1.92,1021,1417
20015,100085,2240,1160,740,1.92,1001,1417
20015,100086,2240,1160,740,1.92,1006,1417
20015,100087,2240,1160,740,1.92,996,1417
20015,100088,2240,1160,740,1.92,1005,1417
20015,100089,2240,1160,740,1.92,998,1417
20015,100090,2240,1160,740,1.92,998,1417
20015,100091,2240,1160,740,1.92,1004,1417
20015,100092,2240,1160,740,1.92,988,1417
