order_id truck_id unload
20017 1 1
20056 1 1
20008 2 1
20034 2 2
20012 3 1
20039 3 2
20001 4 1
20040 4 1
20011 5 1
20050 5 1
20013 5 2
20052 5 2
20016 6 1
20055 6 1
20007 6 2
20046 6 2
20036 7 1
20002 7 2
20041 7 2
20023 8 1
20015 8 2
20054 8 2
20027 9 1
20014 9 2
20053 9 2
20051 10 1
20032 10 2
20026 10 3
20025 11 1
20019 11 2
20058 11 2
20030 11 3
20009 12 1
20048 12 1
20043 12 2
20047 13 1
20010 13 2
20049 13 2
20038 14 1
20037 14 2
20020 14 3
20059 14 3
20033 15 1
20003 15 2
20042 15 2
20024 16 1
20004 16 2
20029 16 3
20005 -1 -1
20006 -1 -1
20018 -1 -1
20021 -1 -1
20022 -1 -1
20028 -1 -1
20031 -1 -1
20035 -1 -1
20044 -1 -1
20045 -1 -1
20057 -1 -1
20060 -1 -1
